parameter,top10_mean,bottom10_mean,delta_top_minus_bottom,top10_mode,bottom10_mode
max_num_haplotypes_in_population,234.9,296.5,-61.599999999999994,224.0,256.0
max_assembly_region_size,320.0,375.0,-55.0,300.0,300.0
assembly_region_padding,85.0,136.8,-51.80000000000001,80.0,120.0
min_assembly_region_size,21.7,36.0,-14.3,20.0,50.0
max_reads_per_alignment_start,29.2,43.0,-13.8,28.0,50.0
min_mapping_quality_score,15.2,22.1,-6.900000000000002,13.0,20.0
max_alternate_alleles,12.0,7.2,4.8,8.0,6.0
phred_scaled_global_read_mismapping_rate,38.0,41.7,-3.700000000000003,35.0,45.0
base_quality_score_threshold,18.7,22.0,-3.3000000000000007,18.0,18.0
standard_min_confidence_threshold_for_calling,26.669999999999998,29.73,-3.0600000000000023,30.0,27.0
min_base_quality_score,6.4,8.5,-2.0999999999999996,6.0,5.0
pair_hmm_gap_continuation_penalty,9.5,8.6,0.9000000000000004,8.0,8.0
min_pruning,1.4,2.2,-0.8000000000000003,1.0,2.0
recover_all_dangling_branches,0.1,0.9,-0.8,0.0,1.0
pruning_lod_threshold,3.5854999999999997,2.961934,0.6235659999999998,3.736,2.302585
min_dangling_branch_length,2.8,2.6,0.19999999999999973,2.0,2.0
contamination_fraction_to_filter,0.188,0.15,0.038000000000000006,0.2,0.0
heterozygosity,0.0047,0.0027600000000000003,0.0019399999999999999,0.005,0.001
adaptive_pruning_initial_error_rate,0.0020000000000000005,0.0023400000000000005,-0.00034,0.002,0.0015
indel_heterozygosity,0.0003547,0.0002247,0.00013000000000000002,0.0003,0.000144
active_probability_threshold,0.0020000000000000005,0.0019099999999999998,9.000000000000067e-05,0.002,0.002
dont_use_soft_clipped_bases,0.0,0.0,0.0,0.0,0.0
sample_ploidy,2.0,2.0,0.0,2.0,2.0
