parameter,top_mean,bottom_mean,delta,top_mode,bottom_mode
max_assembly_region_size,320.0,465.0,-145.0,300.0,500.0
max_num_haplotypes_in_population,234.9,339.2,-104.29999999999998,224.0,384.0
assembly_region_padding,85.0,139.1,-54.099999999999994,80.0,80.0
min_assembly_region_size,22.7,47.8,-25.099999999999998,20.0,30.0
max_reads_per_alignment_start,29.2,37.5,-8.3,28.0,40.0
max_alternate_alleles,11.5,8.4,3.0999999999999996,8.0,8.0
standard_min_confidence_threshold_for_calling,25.39,28.409999999999997,-3.019999999999996,20.0,27.0
base_quality_score_threshold,18.9,21.3,-2.400000000000002,18.0,15.0
min_mapping_quality_score,15.9,18.1,-2.200000000000001,13.0,20.0
phred_scaled_global_read_mismapping_rate,38.5,36.9,1.6000000000000014,35.0,40.0
min_pruning,1.5,2.7,-1.2000000000000002,1.0,2.0
recover_all_dangling_branches,0.1,0.8,-0.7000000000000001,0.0,1.0
min_dangling_branch_length,2.6,3.3,-0.6999999999999997,2.0,2.0
pair_hmm_gap_continuation_penalty,9.5,8.9,0.5999999999999996,8.0,8.0
min_base_quality_score,6.3,6.5,-0.20000000000000018,6.0,5.0
pruning_lod_threshold,3.5422,3.6464999999999996,-0.10429999999999984,3.303,3.303
contamination_fraction_to_filter,0.188,0.238,-0.04999999999999999,0.2,0.3
active_probability_threshold,0.0020000000000000005,0.0022899999999999995,-0.000289999999999999,0.002,0.002
adaptive_pruning_initial_error_rate,0.0020000000000000005,0.00228,-0.00027999999999999943,0.002,0.002
heterozygosity,0.0048000000000000004,0.0046,0.00020000000000000052,0.005,0.005
indel_heterozygosity,0.0003597,0.00035180000000000004,7.899999999999975e-06,0.0003,0.0003
dont_use_soft_clipped_bases,0.0,0.0,0.0,0.0,0.0
sample_ploidy,2.0,2.0,0.0,2.0,2.0
